,Land_class,x,y,ID,pres,sex,age,status,country,year,season,region
1,Arable (non-irrigated),3426618.806,2230156.519,X9EC36811,1,male,adult,migrant,france,1,winter,fs
2,Arable (non-irrigated),3414378.58,2225343.6,X9EC36811,1,male,adult,migrant,france,1,winter,fs
3,Agriculture/natural vegetation,3399721.257,2212167.444,X9EC36811,1,male,adult,migrant,france,1,winter,fs
4,Inland water,3392120.841,2202455.967,X9EC36811,1,male,adult,migrant,france,1,winter,fs
5,Arable (non-irrigated),3392650.005,2202352.672,X9EC36811,1,male,adult,migrant,france,1,winter,fs
6,"Natural grasslands, heath and scrub",3395651.666,2206556.631,X9EC36811,1,male,adult,migrant,france,1,winter,fs
7,Inland marshes and bogs,3393180.116,2202583.579,X9EC36811,1,male,adult,migrant,france,1,winter,fs
8,Arable (non-irrigated),3394744.883,2202946.292,X9EC36811,1,male,adult,migrant,france,1,winter,fs
9,"Natural grasslands, heath and scrub",3392700.847,2203498.541,X9EC36811,1,male,adult,migrant,france,1,winter,fs
10,Arable (non-irrigated),3393546.24,2203003.713,X9EC36811,1,male,adult,migrant,france,1,winter,fs
11,Arable (non-irrigated),3394831.917,2203508.704,X9EC36811,1,male,adult,migrant,france,1,winter,fs
12,"Natural grasslands, heath and scrub",3396609.607,2207664.548,X9EC36811,1,male,adult,migrant,france,1,winter,fs
13,"Natural grasslands, heath and scrub",3400468.892,2207159.992,X9EC36811,1,male,adult,migrant,france,1,winter,fs
14,Woodland,3394369.877,2210148.948,X9EC36811,1,male,adult,migrant,france,1,winter,fs
15,Arable (non-irrigated),3398481.57,2203536.045,X9EC36811,1,male,adult,migrant,france,1,winter,fs
16,Arable (non-irrigated),3394287.733,2198912.553,X9EC36811,1,male,adult,migrant,france,1,winter,fs
17,Arable (non-irrigated),3396879.653,2200861.135,X9EC36811,1,male,adult,migrant,france,1,winter,fs
18,Arable (non-irrigated),3397264.633,2197298.187,X9EC36811,1,male,adult,migrant,france,1,winter,fs
19,Arable (non-irrigated),3381747.873,2178700.458,X9EC36811,1,male,adult,migrant,france,1,winter,fs
20,Arable (irrigated),3397132.561,2181506.811,X9EC36811,1,male,adult,migrant,france,1,winter,fs
21,"Natural grasslands, heath and scrub",3400337.086,2178596.792,X9EC36811,1,male,adult,migrant,france,1,winter,fs
22,Arable (irrigated),3401044.398,2175738.967,X9EC36811,1,male,adult,migrant,france,1,winter,fs
23,Arable (irrigated),3400912.757,2175624.281,X9EC36811,1,male,adult,migrant,france,1,winter,fs
24,Arable (irrigated),3400721.777,2174189.993,X9EC36811,1,male,adult,migrant,france,1,winter,fs
25,Arable (irrigated),3400516.959,2176385.305,X9EC36811,1,male,adult,migrant,france,1,winter,fs
26,Arable (irrigated),3401735.292,2172947.171,X9EC36811,1,male,adult,migrant,france,1,winter,fs
27,Arable (irrigated),3397408.044,2169738.659,X9EC36811,1,male,adult,migrant,france,1,winter,fs
28,Arable (irrigated),3387763.099,2169902.864,X9EC36811,1,male,adult,migrant,france,1,winter,fs
29,Woodland,3391824.42,2168880.364,X9EC36811,1,male,adult,migrant,france,1,winter,fs
30,Arable (irrigated),3391988.223,2168621.712,X9EC36811,1,male,adult,migrant,france,1,winter,fs
31,Rice fields,3392778.585,2171100.369,X9EC36811,1,male,adult,migrant,france,1,winter,fs
32,Arable (irrigated),3389977.639,2165683.094,X9EC36811,1,male,adult,migrant,france,1,winter,fs
33,Arable (irrigated),3391462.873,2168410.734,X9EC36811,1,male,adult,migrant,france,1,winter,fs
34,"Natural grasslands, heath and scrub",3393467.827,2169296.037,X9EC36811,1,male,adult,migrant,france,1,winter,fs
35,Arable (irrigated),3391720.546,2168746.349,X9EC36811,1,male,adult,migrant,france,1,winter,fs
36,Woodland,3392428.256,2171403.088,X9EC36811,1,male,adult,migrant,france,1,winter,fs
37,Arable (irrigated),3390210.677,2167516.358,X9EC36811,1,male,adult,migrant,france,1,winter,fs
38,Arable (irrigated),3389918.532,2166201.935,X9EC36811,1,male,adult,migrant,france,1,winter,fs
39,Arable (irrigated),3391368.123,2168412.645,X9EC36811,1,male,adult,migrant,france,1,winter,fs
40,Arable (irrigated),3389935.95,2166908.764,X9EC36811,1,male,adult,migrant,france,1,winter,fs
41,Arable (irrigated),3392276.239,2169235.954,X9EC36811,1,male,adult,migrant,france,1,winter,fs
42,Arable (irrigated),3392082.153,2169226.627,X9EC36811,1,male,adult,migrant,france,1,winter,fs
43,Arable (irrigated),3392050.737,2169322.127,X9EC36811,1,male,adult,migrant,france,1,winter,fs
44,Arable (irrigated),3391995.32,2169857.578,X9EC36811,1,male,adult,migrant,france,1,winter,fs
45,Arable (irrigated),3396184.034,2165001.554,X9EC36811,1,male,adult,migrant,france,1,winter,fs
46,Arable (irrigated),3392245.804,2167248.613,X9EC36811,1,male,adult,migrant,france,1,winter,fs
47,"Natural grasslands, heath and scrub",3393979.411,2169127.247,X9EC36811,1,male,adult,migrant,france,1,winter,fs
48,"Natural grasslands, heath and scrub",3394512.267,2168054.307,X9EC36811,1,male,adult,migrant,france,1,winter,fs
49,Arable (irrigated),3396478.94,2165062.27,X9EC36811,1,male,adult,migrant,france,1,winter,fs
50,"Natural grasslands, heath and scrub",3393950.095,2169056.935,X9EC36811,1,male,adult,migrant,france,1,winter,fs
51,Rice fields,3392480.017,2170289.31,X9EC36811,1,male,adult,migrant,france,1,winter,fs
52,"Natural grasslands, heath and scrub",3393620.572,2163852.266,X9EC36811,1,male,adult,migrant,france,1,winter,fs
53,Arable (irrigated),3387654.314,2166874.067,X9EC36811,1,male,adult,migrant,france,1,winter,fs
54,"Rocks, bare ground & permanent snow",3376849.201,2168686.424,X9EC36811,1,male,adult,migrant,france,1,winter,fs
55,"Natural grasslands, heath and scrub",3379516.881,2167529.396,X9EC36811,1,male,adult,migrant,france,1,winter,fs
56,Arable (irrigated),3384682.281,2168587.387,X9EC36811,1,male,adult,migrant,france,1,winter,fs
57,Arable (irrigated),3378255.509,2166189.121,X9EC36811,1,male,adult,migrant,france,1,winter,fs
58,Arable (irrigated),3390537.236,2167784.043,X9EC36811,1,male,adult,migrant,france,1,winter,fs
59,Arable (irrigated),3392084.577,2171512.63,X9EC36811,1,male,adult,migrant,france,1,winter,fs
60,Rice fields,3392458.082,2169920.705,X9EC36811,1,male,adult,migrant,france,1,winter,fs
61,Arable (irrigated),3392794.171,2170087.482,X9EC36811,1,male,adult,migrant,france,1,winter,fs
62,Rice fields,3392347.162,2170207.833,X9EC36811,1,male,adult,migrant,france,1,winter,fs
63,Arable (irrigated),3392000.268,2169391.159,X9EC36811,1,male,adult,migrant,france,1,winter,fs
64,Arable (irrigated),3391359.083,2168417.926,X9EC36811,1,male,adult,migrant,france,1,winter,fs
65,Woodland,3389815.283,2166173.201,X9EC36811,1,male,adult,migrant,france,1,winter,fs
66,Arable (irrigated),3391062.138,2168773.946,X9EC36811,1,male,adult,migrant,france,1,winter,fs
67,Arable (irrigated),3391208.517,2170547.255,X9EC36811,1,male,adult,migrant,france,1,winter,fs
68,Arable (irrigated),3391209.989,2170577.855,X9EC36811,1,male,adult,migrant,france,1,winter,fs
69,Arable (irrigated),3391601.815,2169559.561,X9EC36811,1,male,adult,migrant,france,1,winter,fs
70,Arable (irrigated),3391629.046,2169434.045,X9EC36811,1,male,adult,migrant,france,1,winter,fs
71,Arable (irrigated),3392814.627,2165870.902,X9EC36811,1,male,adult,migrant,france,1,winter,fs
72,Arable (non-irrigated),3387678.387,2171774.844,X9EC36811,1,male,adult,migrant,france,1,winter,fs
73,Arable (non-irrigated),3387095.653,2171653.062,X9EC36811,1,male,adult,migrant,france,1,winter,fs
74,Arable (irrigated),3391740.315,2169410.421,X9EC36811,1,male,adult,migrant,france,1,winter,fs
75,Arable (irrigated),3390761.793,2167479.977,X9EC36811,1,male,adult,migrant,france,1,winter,fs
76,Arable (irrigated),3391294.815,2170404.636,X9EC36811,1,male,adult,migrant,france,1,winter,fs
77,Arable (irrigated),3389853.83,2172611.173,X9EC36811,1,male,adult,migrant,france,1,winter,fs
78,Arable (irrigated),3390977.128,2168414.261,X9EC36811,1,male,adult,migrant,france,1,winter,fs
79,Arable (irrigated),3391895.77,2170808.379,X9EC36811,1,male,adult,migrant,france,1,winter,fs
80,Rice fields,3392203.564,2170792.025,X9EC36811,1,male,adult,migrant,france,1,winter,fs
81,Arable (irrigated),3391859.858,2169376.018,X9EC36811,1,male,adult,migrant,france,1,winter,fs
82,Arable (irrigated),3388249.166,2167800.958,X9EC36811,1,male,adult,migrant,france,1,winter,fs
83,"Natural grasslands, heath and scrub",3384640.339,2170321.33,X9EC36811,1,male,adult,migrant,france,1,winter,fs
84,Arable (non-irrigated),3380921.69,2171171.884,X9EC36811,1,male,adult,migrant,france,1,winter,fs
85,Arable (irrigated),3224659.697,1731450.159,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
86,Arable (irrigated),3223383.791,1728162.053,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
87,Arable (irrigated),3223023.109,1728245.025,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
88,Arable (irrigated),3224028.6,1730187.609,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
89,Arable (irrigated),3223444.89,1728202.335,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
90,Arable (irrigated),3222237.085,1728072.365,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
91,Arable (non-irrigated),3218198.723,1729019.595,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
92,Arable (irrigated),3224323.196,1729990.276,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
93,Arable (irrigated),3223909.325,1729232.775,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
94,Arable (irrigated),3223720.964,1728315.204,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
95,Arable (irrigated),3223579.136,1728436.175,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
96,Arable (irrigated),3223575.531,1728350.657,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
97,Arable (irrigated),3223705.44,1728331.365,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
98,Arable (non-irrigated),3224721.532,1730581.301,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
99,Arable (irrigated),3223373.116,1728180.773,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
100,Arable (non-irrigated),3225065.858,1732033.942,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
101,"Natural grasslands, heath and scrub",3222322.506,1730672.309,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
102,"Natural grasslands, heath and scrub",3220515.376,1728880.044,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
103,Orchards and vineyards,3223306.682,1731200.788,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
104,Arable (irrigated),3226838.761,1736308.04,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
105,Orchards and vineyards,3228500.731,1734981.745,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
106,Arable (irrigated),3223686.033,1728341.443,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
107,Arable (irrigated),3223338.751,1728109.258,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
108,Arable (irrigated),3223398.636,1728049.828,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
109,Arable (irrigated),3223568.754,1728223.164,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
110,"Natural grasslands, heath and scrub",3223906.184,1731993.743,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
111,Arable (irrigated),3223571.757,1729117.329,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
112,Arable (irrigated),3223465.6,1729826.293,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
113,Orchards and vineyards,3223294.979,1730634.021,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
114,"Natural grasslands, heath and scrub",3219321.644,1729230.7,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
115,"Natural grasslands, heath and scrub",3219196.862,1728859.655,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
116,Arable (irrigated),3223406.137,1728324.45,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
117,Arable (irrigated),3223530.175,1728315.995,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
118,Orchards and vineyards,3228353.083,1735550.546,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
119,Arable (non-irrigated),3218596.858,1728765.942,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
120,Arable (irrigated),3222079.515,1728207.893,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
121,Arable (non-irrigated),3220451.932,1729229.203,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
122,"Natural grasslands, heath and scrub",3220641.598,1728977.613,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
123,"Natural grasslands, heath and scrub",3220210.338,1729300.159,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
124,Arable (non-irrigated),3229792.394,1736937.165,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
125,Arable (non-irrigated),3224506.445,1734182.914,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
126,Arable (non-irrigated),3225819.805,1736105.31,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
127,Arable (non-irrigated),3224910.677,1732723.551,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
128,Arable (non-irrigated),3225798.976,1736064.923,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
129,Arable (non-irrigated),3224219.39,1733882.46,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
130,"Natural grasslands, heath and scrub",3218082.784,1725430.818,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
131,Arable (non-irrigated),3216607.204,1730342.313,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
132,Woodland,3218809.599,1733634.329,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
133,Arable (non-irrigated),3223407.358,1726971.097,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
134,Arable (non-irrigated),3227555.89,1724249.86,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
135,Arable (irrigated),3223301.33,1728088.01,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
136,Arable (non-irrigated),3218443.6,1728343.684,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
137,Arable (irrigated),3224251.81,1730418.213,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
138,Arable (non-irrigated),3224176.904,1736300.762,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
139,Arable (irrigated),3222457.865,1730183.294,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
140,Orchards and vineyards,3220184.548,1726490.51,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
141,Arable (non-irrigated),3219474.8,1723878.129,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
142,Arable (non-irrigated),3220987.333,1722999.374,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
143,Arable (non-irrigated),3220995.789,1729772.962,C4A6CF1F,1,male,adult,migrant,france,1,winter,fs
144,Arable (irrigated),3400816.321,2175138.572,X9EC36811,0,male,adult,migrant,france,1,winter,fs
145,"Natural grasslands, heath and scrub",3377782.198,1988660.751,X9EC36811,0,male,adult,migrant,france,1,winter,fs
146,"Natural grasslands, heath and scrub",3410772.619,2219562.257,X9EC36811,0,male,adult,migrant,france,1,winter,fs
147,"Natural grasslands, heath and scrub",3401500.9,2173283.638,X9EC36811,0,male,adult,migrant,france,1,winter,fs
148,Urban,3397633.856,2182663.622,X9EC36811,0,male,adult,migrant,france,1,winter,fs
149,Arable (irrigated),3394269.906,2186685.387,X9EC36811,0,male,adult,migrant,france,1,winter,fs
150,Arable (non-irrigated),3898608.311,2823172.213,X9EC36811,0,male,adult,migrant,france,1,winter,fs
151,Arable (irrigated),3387198.427,2182433.492,X9EC36811,0,male,adult,migrant,france,1,winter,fs
152,"Natural grasslands, heath and scrub",3296444.232,2174566.252,X9EC36811,0,male,adult,migrant,france,1,winter,fs
153,Arable (non-irrigated),3227161.547,1731972.008,X9EC36811,0,male,adult,migrant,france,1,winter,fs
154,Arable (irrigated),3403809.449,2192063.288,X9EC36811,0,male,adult,migrant,france,1,winter,fs
155,Inland water,3898549.407,2811312.15,X9EC36811,0,male,adult,migrant,france,1,winter,fs
156,"Natural grasslands, heath and scrub",3256727.369,2261492.057,X9EC36811,0,male,adult,migrant,france,1,winter,fs
157,Arable (irrigated),3391282.955,2188057.099,X9EC36811,0,male,adult,migrant,france,1,winter,fs
158,"Natural grasslands, heath and scrub",3394695.876,2023441.701,X9EC36811,0,male,adult,migrant,france,1,winter,fs
159,Arable (non-irrigated),3380171.816,1997634.732,X9EC36811,0,male,adult,migrant,france,1,winter,fs
160,"Natural grasslands, heath and scrub",3403212.061,2213443.621,X9EC36811,0,male,adult,migrant,france,1,winter,fs
161,Arable (non-irrigated),3906250.253,2822938.877,X9EC36811,0,male,adult,migrant,france,1,winter,fs
162,"Natural grasslands, heath and scrub",3256823.32,2261483.669,X9EC36811,0,male,adult,migrant,france,1,winter,fs
163,Arable (non-irrigated),3372905.617,1976550.474,X9EC36811,0,male,adult,migrant,france,1,winter,fs
164,"Natural grasslands, heath and scrub",3390636.437,2007355.33,X9EC36811,0,male,adult,migrant,france,1,winter,fs
165,Arable (non-irrigated),3384134.089,2021861.997,X9EC36811,0,male,adult,migrant,france,1,winter,fs
166,Arable (non-irrigated),3185552.335,2230553.897,X9EC36811,0,male,adult,migrant,france,1,winter,fs
167,Arable (non-irrigated),3249700.508,2253759.97,X9EC36811,0,male,adult,migrant,france,1,winter,fs
168,Arable (non-irrigated),3385049.34,2022770.456,X9EC36811,0,male,adult,migrant,france,1,winter,fs
169,Arable (non-irrigated),3902599.064,2826554.941,X9EC36811,0,male,adult,migrant,france,1,winter,fs
170,Arable (irrigated),3395362.024,2188098.816,X9EC36811,0,male,adult,migrant,france,1,winter,fs
171,"Natural grasslands, heath and scrub",3417360.175,2212852.213,X9EC36811,0,male,adult,migrant,france,1,winter,fs
172,Arable (non-irrigated),3392143.008,2007502.253,X9EC36811,0,male,adult,migrant,france,1,winter,fs
173,Arable (non-irrigated),3389359.16,2013210.87,X9EC36811,0,male,adult,migrant,france,1,winter,fs
174,Arable (non-irrigated),3392571.647,2016645.297,X9EC36811,0,male,adult,migrant,france,1,winter,fs
175,Arable (non-irrigated),3373500.457,1993769.162,X9EC36811,0,male,adult,migrant,france,1,winter,fs
176,"Natural grasslands, heath and scrub",3403841.018,2209424.094,X9EC36811,0,male,adult,migrant,france,1,winter,fs
177,Woodland,3419371.766,2218264.036,X9EC36811,0,male,adult,migrant,france,1,winter,fs
178,Arable (irrigated),3393496.483,2191496.919,X9EC36811,0,male,adult,migrant,france,1,winter,fs
179,"Natural grasslands, heath and scrub",3420618.733,2227660.345,X9EC36811,0,male,adult,migrant,france,1,winter,fs
180,Arable (irrigated),3392186.928,2182602.004,X9EC36811,0,male,adult,migrant,france,1,winter,fs
181,Arable (non-irrigated),3901759.146,2821006.816,X9EC36811,0,male,adult,migrant,france,1,winter,fs
182,Arable (non-irrigated),3391998.938,2017416.12,X9EC36811,0,male,adult,migrant,france,1,winter,fs
183,"Natural grasslands, heath and scrub",3417566.008,2215272.407,X9EC36811,0,male,adult,migrant,france,1,winter,fs
184,Arable (non-irrigated),3388882.74,2002996.239,X9EC36811,0,male,adult,migrant,france,1,winter,fs
185,Arable (non-irrigated),3391938.986,2020709.094,X9EC36811,0,male,adult,migrant,france,1,winter,fs
186,"Rocks, bare ground & permanent snow",3379207.416,2170246.897,X9EC36811,0,male,adult,migrant,france,1,winter,fs
187,Woodland,3371600.231,1983047.532,X9EC36811,0,male,adult,migrant,france,1,winter,fs
188,Arable (non-irrigated),3233950.466,2247737.005,X9EC36811,0,male,adult,migrant,france,1,winter,fs
189,Arable (irrigated),3392180.465,2168733.44,X9EC36811,0,male,adult,migrant,france,1,winter,fs
190,"Natural grasslands, heath and scrub",3417918.305,2211165.607,X9EC36811,0,male,adult,migrant,france,1,winter,fs
191,Arable (non-irrigated),3188901.943,2230515.966,X9EC36811,0,male,adult,migrant,france,1,winter,fs
192,Arable (irrigated),3399687.306,2193941.628,X9EC36811,0,male,adult,migrant,france,1,winter,fs
193,Arable (non-irrigated),3242379.738,2252110.696,X9EC36811,0,male,adult,migrant,france,1,winter,fs
194,Woodland,3264727.428,2261229.867,X9EC36811,0,male,adult,migrant,france,1,winter,fs
195,Arable (non-irrigated),3395182.486,2195519.595,X9EC36811,0,male,adult,migrant,france,1,winter,fs
196,Arable (non-irrigated),3248102.618,2256127.415,X9EC36811,0,male,adult,migrant,france,1,winter,fs
197,Arable (non-irrigated),3237343.607,2252149.947,X9EC36811,0,male,adult,migrant,france,1,winter,fs
198,Arable (non-irrigated),3373881.916,1992059.331,X9EC36811,0,male,adult,migrant,france,1,winter,fs
199,"Natural grasslands, heath and scrub",3397249.84,2017358.361,X9EC36811,0,male,adult,migrant,france,1,winter,fs
200,Arable (irrigated),3222772.543,1727918.435,X9EC36811,0,male,adult,migrant,france,1,winter,fs
201,Arable (non-irrigated),3394590.891,2022329.228,X9EC36811,0,male,adult,migrant,france,1,winter,fs
202,Arable (non-irrigated),3397110.681,2198379.905,X9EC36811,0,male,adult,migrant,france,1,winter,fs
203,Inland water,3353597.574,2058458.592,X9EC36811,0,male,adult,migrant,france,1,winter,fs
204,Arable (non-irrigated),3380769.887,1999309.412,X9EC36811,0,male,adult,migrant,france,1,winter,fs
205,Woodland,3424643.862,2227887.48,X9EC36811,0,male,adult,migrant,france,1,winter,fs
206,Arable (non-irrigated),3385179.235,2020696.542,X9EC36811,0,male,adult,migrant,france,1,winter,fs
207,Agriculture/natural vegetation,3406928.058,2190343.639,X9EC36811,0,male,adult,migrant,france,1,winter,fs
208,Arable (non-irrigated),3393269.274,2202346.839,X9EC36811,0,male,adult,migrant,france,1,winter,fs
209,Arable (irrigated),3403522.66,2182507.134,X9EC36811,0,male,adult,migrant,france,1,winter,fs
210,Arable (non-irrigated),3240297.636,2253692.769,X9EC36811,0,male,adult,migrant,france,1,winter,fs
211,Arable (non-irrigated),3380687.38,2015513.824,X9EC36811,0,male,adult,migrant,france,1,winter,fs
212,Arable (non-irrigated),3369213.155,1992630.536,X9EC36811,0,male,adult,migrant,france,1,winter,fs
213,Arable (non-irrigated),3379955.909,2007904.447,X9EC36811,0,male,adult,migrant,france,1,winter,fs
214,"Natural grasslands, heath and scrub",3388728.883,2004289.957,X9EC36811,0,male,adult,migrant,france,1,winter,fs
215,Permanent grasslands,3900386.603,2808377.74,X9EC36811,0,male,adult,migrant,france,1,winter,fs
216,Arable (irrigated),3384775.313,2187026.556,X9EC36811,0,male,adult,migrant,france,1,winter,fs
217,Woodland,3898525.43,2804133.179,X9EC36811,0,male,adult,migrant,france,1,winter,fs
218,Orchards and vineyards,3220458.175,1727991.582,X9EC36811,0,male,adult,migrant,france,1,winter,fs
219,Urban,3904344.586,2826241.74,X9EC36811,0,male,adult,migrant,france,1,winter,fs
220,"Natural grasslands, heath and scrub",3258197.094,2260972.18,X9EC36811,0,male,adult,migrant,france,1,winter,fs
221,Arable (irrigated),3400534.404,2193766.221,X9EC36811,0,male,adult,migrant,france,1,winter,fs
222,"Natural grasslands, heath and scrub",3399587.561,2030179.45,X9EC36811,0,male,adult,migrant,france,1,winter,fs
223,Arable (non-irrigated),3394240.49,2019398.496,X9EC36811,0,male,adult,migrant,france,1,winter,fs
224,Arable (non-irrigated),3896482.303,2820922.946,X9EC36811,0,male,adult,migrant,france,1,winter,fs
225,Woodland,3378548.07,2012297.004,X9EC36811,0,male,adult,migrant,france,1,winter,fs
226,Arable (non-irrigated),3255484.003,2254139.667,X9EC36811,0,male,adult,migrant,france,1,winter,fs
227,"Natural grasslands, heath and scrub",3392530.234,2033774.784,X9EC36811,0,male,adult,migrant,france,1,winter,fs
228,Agriculture/natural vegetation,3380876.871,1993944.598,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
229,Arable (non-irrigated),3370997.734,1994178.384,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
230,Arable (non-irrigated),3377633.529,2003474.958,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
231,"Natural grasslands, heath and scrub",3378338.862,2014333.439,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
232,Arable (non-irrigated),3400271.031,2198052.658,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
233,Arable (non-irrigated),3376591.14,2003857.011,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
234,Arable (non-irrigated),3898968.631,2814428.875,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
235,"Natural grasslands, heath and scrub",3222133.12,1733385.785,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
236,Woodland,3901275.986,2823149.861,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
237,Arable (non-irrigated),3393625.403,2198565.427,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
238,Arable (non-irrigated),3392396.323,2015060.982,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
239,"Natural grasslands, heath and scrub",3406875.57,2214323.52,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
240,Arable (non-irrigated),3242970.494,2252322.918,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
241,Woodland,3407080.17,2218691.044,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
242,"Natural grasslands, heath and scrub",3379896.092,2172127.263,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
243,"Natural grasslands, heath and scrub",3407589.282,2203769.061,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
244,"Natural grasslands, heath and scrub",3404642.08,2186455.669,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
245,"Natural grasslands, heath and scrub",3417895.614,2216427.909,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
246,"Natural grasslands, heath and scrub",3374921.861,1979274.941,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
247,"Natural grasslands, heath and scrub",3397336.79,2029240.072,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
248,Arable (irrigated),3386969.405,2169882.206,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
249,Arable (non-irrigated),3381303.333,2021519.425,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
250,Arable (non-irrigated),3391958.092,2016694.538,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
251,Arable (non-irrigated),3259642.83,2259792.738,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
252,Arable (non-irrigated),3896020.895,2811959.398,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
253,"Natural grasslands, heath and scrub",3393936.77,2204468.813,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
254,Permanent grasslands,3907679.326,2825493.845,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
255,Arable (non-irrigated),3387853.404,2025072.351,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
256,Arable (non-irrigated),3242254.373,2252057.652,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
257,"Rocks, bare ground & permanent snow",3370230.109,1990788.888,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
258,Arable (non-irrigated),3370306.659,1981310.563,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
259,Arable (non-irrigated),3381615.465,2016291.313,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
260,Arable (irrigated),3391457.84,2195151.546,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
261,Arable (non-irrigated),3367925.924,1983744.911,C4A6CF1F,0,male,adult,migrant,france,1,winter,fs
